Nr,Y,X,H,Kodi,Burimi,Saktesia(cm),Besueshmeria
1,7511360.526,4688635.579,653.6951,2,1,3,1
2,7511314.627,4688666.935,657.7388,2,1,3,1
3,7511298.957,4688677.64,657.887,2,1,3,1
4,7511272.253,4688694.548,657.0854,2,1,3,1
5,7511274.393,4688697.928,656.8557,2,1,3,1
6,7511256.938,4688670.359,658.7425,2,1,3,1
7,7511300.211,4688644.14,659.4966,2,1,3,1
17946,7511347.464,4688615.333,654.8282,2,1,3,1
17947,7511362.695,4688638.941,653.593,2,1,3,1
19484,7511237.287,4688721.422,652.293,2,1,3,1
19485,7511221.256,4688691.814,654.1977,2,1,3,1
19486,7511244.306,4688678.004,657.7766,2,1,3,1
20069,7511293.465,4688648.253,659.6685,2,1,3,1
20070,7511301.156,4688680.982,657.5683,2,1,3,1
26944,7511312.21,4688636.825,658.9806,2,1,3,1
